,Item,Unit Ukuran,Kekerapan / Unit Ukuran,Bil. Unit Ukuran Sehari,Bil. Unit Ukuran Sebulan,Kuantiti,* Maklumbalas,Tawaran Pembekal
,"27.0 Penyebut harga hendaklah memahami dan mematuhi semua perkara dan tidak terhad:
i. Penyelenggaraan dan sokongan teknikal
ii. Service Level Agreement (SLA)

yang dinyatakan di Lampiran 1 - Skop Kerja Dan Keperluan Umum",28,,,,,,
,ITEM 2: PEMBANGUNAN KOMPONEN AI CHATBOT,unit,1.0,1.0,,,,
,"1.0 Penyebut harga hendaklah menyedia dan mengemukakan kaedah dan konsep pelaksanaan pembangunan komponen AI Chatbot kepada Pihak Kerajaan. Kaedah ini hendaklah dimasukkan dalam catatan Lampiran 2 - Jadual Pelaksanaan bagi item AI chatbot.
Sila nyatakan cadangan.",28,,,,,,
,"2.0 Penyebut harga hendaklah membangunkan dan menyediakan Chatbot AI yang mempunyai ciri-ciri berikut:
i. Menarik dan mesra pengguna - Quick reply buttons, chat bubble, responsive, mobile-friendly
ii. Mudah diselenggara dan ditambahbaik
iii.Boleh berinteraksi/menyokong dan memahami Bahasa Malaysia dan Bahasa Inggeris
iv.Menggunakan NLP & AI (Natural Language Processing) untuk memahami soalan pengguna
v.Chatbot mesti boleh menjawab soalan sepanjang masa tanpa henti.
vi. Maksimum penggunaan chatbot bagi setiap bulan x 12 bulan :
Sesi chat: 100, 000chat
Token: 1, 000, 000 token
vii. Fungsi notifikasi mesti dihantar kepada pentadbir portal sebelum kuota chatbot hampir habis.
viii. Fungsi chatbot mesti boleh bertukar kepada normal chat apabila kouta chatbot AI telah habis.",28,,,,,,
,"3.0
ix. Jawapan Berasaskan FAQ - Jawapan automatik berdasarkan soalan lazim dan Pentadbir Sistem boleh mengemaskini tanpa pengaturcaraan.
x. Integrasi Sistem - sumber pangkalan data yang ekstrak dari Portal Rasmi JKPTG, Portal MyLAND dan Portal Intranet
xi.Keselamatan & Privasi - Data encryption, HTTPS, kawalan akses, patuh PDPA
xii.Analitik & Pemantauan - Statistik soalan, kadar kejayaan jawapan dan trend pertanyaan.",28,,,,,,
,4.0 Membangunkan fungsi normal chatbot. Ia mesti berfungsi apabila kuota chatbot AI telah habis.,12,,,,,,
,"5.0 Penyebut harga hendaklah membangunkan portal yang mempunyai ciri-ciri keselamatan seperti API, Encryption, dan token bagi pembangunan Chatbot AI supaya keselamatan data kerajaan terjamin",28,,,,,,
,"6.0 Penyebut harga hendaklah membangunkan Chatbot menggunakan pembangun GUI dengan menentukan jawapan dan aliran bersyarat yang unik untuk setiap kes penggunaan merujuk sumber kandungan yang akan diesktrak dari Portal Rasmi JKPTG dan dari pangkalan data (Intermediate database) yang akan dibangunkan oleh pihak pembekal.
Sila nyatakan cadangan pelaksanaan.",28,,,,,,
,ITEM 3: MIGRASI DATA PORTAL RASMI JKPTG,unit,1.0,1.0,,,,
,1.0 Penyebut harga hendaklah menyedia dan mengemukakan pelan migrasi data kepada Pihak Kerajaan. Penyebut harga hanya dibenarkan melaksanakan kerja-kerja migrasi setelah Pihak Kerajaan bersetuju dengan pelan migrasi yang dicadangkan.,12,,,,,,
